,R-square training,mean absolute error training,mean square error training,R-square test,mean absolute error test,mean square error test
BoW Lin Reg history,0.9997629457535504,0.041877534978388656,0.018156757086730316,-0.7860477763261717,27.4140576814766,2.801668541269752
BoW Lin Reg concatenated,0.9998939149505154,0.02314179613437844,0.01214623012985638,0.11220675616702203,19.521664589263775,1.9752684885927538
BoW MLP history,0.9791471925688052,1.1949300533652936,0.17029295434951536,0.01552789959193246,13.298869267390758,2.0800411370410936
BoW MLP concatenated,0.9902816830131648,0.9552902051674345,0.11625454584301846,0.18513433259750134,12.034314252946071,1.8924012564422417
tf-idf Lin Reg history,0.9997629457536346,0.041873311632520574,0.018156757083508716,0.20406227683056166,14.697725410763809,1.8702934885568703
tf-idf Lin Reg concatenated,0.9998939149505215,0.023140518870318205,0.012146230129503431,0.3126494684879043,15.025487780683093,1.7380383464009264
tf-idf MLP history,0.911195451007832,3.5202174803900315,0.3514244874680524,0.1674514062411251,12.50854901910462,1.9128240055587682
tf-idf MLP Reg concatenated,0.9840039546680952,1.4487785145744563,0.14914913079299816,0.27817476563245724,11.19113295029915,1.7810915692304434
